51016,I'm Not in Love,10cc,Unkown Album
52002,The Things We Do For Love,10cc,Unkown Album
51780,Caught Up in You,38 Special,Unkown Album
52053,Hold on Loosely,38 Special,Unkown Album
51278,What's Up?,4 Non Blondes,Unkown Album
1711,Take On Me,A-ha,Unkown Album
50068,Dancing Queen,ABBA,Unkown Album
51784,Does Your Mother Know,ABBA,Unkown Album
50002,Fernando,ABBA,Unkown Album
52241,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Unkown Album
50125,"Knowing Me, Knowing You",ABBA,Unkown Album
52242,Mamma Mia,ABBA,Unkown Album
52243,"Money, Money, Money",ABBA,Unkown Album
52391,One of Us,ABBA,Unkown Album
50159,SOS,ABBA,Unkown Album
50127,Take a Chance On Me,ABBA,Unkown Album
50126,The Name of the Game,ABBA,Unkown Album
50189,The Winner Takes It All,ABBA,Unkown Album
50160,Waterloo,ABBA,Unkown Album
51468,Be Near Me,ABC,Unkown Album
51415,The Look of Love,ABC,Unkown Album
51037,Highway to Hell,AC/DC,Unkown Album
51162,Jailbreak,AC/DC,Unkown Album
52008,You Shook Me All Night Long,AC/DC,Unkown Album
51701,New York Groove,Ace Frehley,Unkown Album
52333,The Sign,Ace of Base,Unkown Album
51639,Goody Two Shoes,Adam Ant,Unkown Album
50376,The Addams Family theme,Addams Family,Unkown Album
52300,Hello,Adele,Unkown Album
51237,Right as Rain,Adele,Unkown Album
51228,Rolling in the Deep,Adele,Unkown Album
52143,I Don't Want To Miss a Thing,Aerosmith,Unkown Album
50280,Walk This Way,Aerosmith,Unkown Album
51013,That's Just What You Are,Aimee Mann,Unkown Album
50200,All Out of Love,Air Supply,Unkown Album
52018,Even the Nights Are Better,Air Supply,Unkown Album
50001,Let's Stay Together,Al Green,Unkown Album
52337,Tired of Being Alone,Al Green,Unkown Album
52307,Moonlighting,Al Jarreau,Unkown Album
51916,After You've Gone,Al Jolson,Unkown Album
51917,I'm Sitting on Top of the World,Al Jolson,Unkown Album
51130,Year of the Cat,Al Stewart,Unkown Album
51988,Undercover Angel,Alan O'Day,Unkown Album
51526,Eye in the Sky,Alan Parsons Project,Unkown Album
51511,Games People Play,Alan Parsons Project,Unkown Album
51894,You Oughta Know,Alanis Morissette,Unkown Album
51620,Black Velvet,Alannah Myles,Unkown Album
50087,I Love the Nightlife (Disco 'Round),Alicia Bridges,Unkown Album
51874,Girl on Fire,Alicia Keys,Unkown Album
52135,"Hello Muddah, Hello Fadduh (A Letter From Camp)",Allan Sherman,Unkown Album
51087,Ramblin' Man,Allman Brothers Band,Unkown Album
51325,Statesboro Blues,Allman Brothers Band,Unkown Album
51912,Whipping Post,Allman Brothers Band,Unkown Album
51198,I Need a Dollar,Aloe Blacc,Unkown Album
51605,Happy Birthday,Altered Images,Unkown Album
52004,Biggest Part of Me,Ambrosia,Unkown Album
51707,How Much I Feel,Ambrosia,Unkown Album
52276,A Horse With No Name,America,Unkown Album
51124,Sister Golden Hair ,America,Unkown Album
52043,Tin Man,America,Unkown Album
52277,Ventura Highway,America,Unkown Album
51269,Back to Black,Amy Winehouse,Unkown Album
52318,Love Is a Losing Game,Amy Winehouse,Unkown Album
52352,Rehab,Amy Winehouse,Unkown Album
52308,Valerie,Amy Winehouse,Unkown Album
51261,You Know I'm No Good,Amy Winehouse,Unkown Album
51645,Bei Mir Bist Du Sch_n,Andrews Sisters,Unkown Album
51768,I Just Want to Be Your Everything,Andy Gibb,Unkown Album
51871,Shadow Dancing,Andy Gibb,Unkown Album
51832,Rock Me Gently,Andy Kim,Unkown Album
52130,Love Story (Where Do I Begin?),Andy Williams,Unkown Album
52129,Music to Watch Girls By,Andy Williams,Unkown Album
52176,"Speak Softly, Love  [Love theme from The Godfather]",Andy Williams,Unkown Album
51210,Bring It On Home to Me,"Animals, The",Unkown Album
51722,Don't Let Me Be Misunderstood,"Animals, The",Unkown Album
51065,It's My Life,"Animals, The",Unkown Album
51110,The House of the Rising Sun,"Animals, The",Unkown Album
51233,Obsession  [duet],Animotion,Unkown Album
52073,Sweet Love,Anita Baker,Unkown Album
51169,Ring My Bell,Anita Ward,Unkown Album
52233,Danny's Song,Anne Murray,Unkown Album
1110,Snowbird,Anne Murray,Unkown Album
50317,Into the West [from The Lord of the Rings: The Return of the King],Annie Lennox,Unkown Album
51699,Rain and Tears,Aphrodite's Child,Unkown Album
52038,Sex Shooter,Apollonia 6,Unkown Album
51410,Teach Me Tiger,April Stevens,Unkown Album
51993,"Sugar, Sugar","Archies, The",Unkown Album
51633,Baby I Love You,Aretha Franklin,Unkown Album
51836,"Do Right Woman, Do Right Man",Aretha Franklin,Unkown Album
51818,Along Comes Mary,"Association, The",Unkown Album
51490,Never My Love,"Association, The",Unkown Album
52066,Windy,"Association, The",Unkown Album
50097,Love Shack,B-52s,Unkown Album
51980,Private Idaho,B-52s,Unkown Album
51328,Rock Lobster,B-52s,Unkown Album
51772,The Thrill Is Gone,B.B. King,Unkown Album
51853,Hooked On a Feeling,B.J. Thomas,Unkown Album
52303,Two Occasions,Babyface with the Deele,Unkown Album
52269,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,Unkown Album
51940,I Want It That Way,Backstreet Boys,Unkown Album
51911,Bad Company,Bad Company,Unkown Album
52065,Feel Like Makin' Love,Bad Company,Unkown Album
51568,Baby Blue,Badfinger,Unkown Album
51638,No Matter What,Badfinger,Unkown Album
51746,Without You,Badfinger,Unkown Album
52137,Who Let the Dogs Out?,Baha Men,Unkown Album
51672,Tarzan Boy,Baltimora,Unkown Album
51498,Cruel Summer,Bananarama,Unkown Album
52279,I Heard a Rumour,Bananarama,Unkown Album
52227,Ophelia,"Band, The",Unkown Album
52228,The Night They Drove Old Dixie Down,"Band, The",Unkown Album
51440,The Weight,"Band, The",Unkown Album
51086,Up On Cripple Creek,"Band, The",Unkown Album
50041,Eternal Flame,Bangles,Unkown Album
51314,Hazy Shade of Winter,Bangles,Unkown Album
50116,In Your Room,Bangles,Unkown Album
52037,Manic Monday,Bangles,Unkown Album
50161,Walk Like an Egyptian,Bangles,Unkown Album
701,The Way We Were,Barbra Streisand,Unkown Album
52101,Woman in Love,Barbra Streisand,Unkown Album
50003,Guilty  [duet],Barbra Streisand + Barry Gibb,Unkown Album
52208,What Kind of Fool  [duet],Barbra Streisand + Barry Gibb,Unkown Album
50080,You Don't Bring Me Flowers [duet],Barbra Streisand + Neil Diamond,Unkown Album
51107,One Week,Barenaked Ladies,Unkown Album
50003,Guilty [duet],Barry Gibb + Barbra Streisand,Unkown Album
52208,What Kind of Fool  [duet],Barry Gibb + Barbra Streisand,Unkown Album
51291,Copacabana,Barry Manilow,Unkown Album
3301,Mandy,Barry Manilow,Unkown Album
3304,Ready to Take a Chance,Barry Manilow,Unkown Album
51920,Be True To Your School,Beach Boys,Unkown Album
51921,"Help Me, Rhonda",Beach Boys,Unkown Album
51029,Fight for Your Right,Beastie Boys,Unkown Album
50335,No Sleep Till Brooklyn,Beastie Boys,Unkown Album
51030,Paul Revere,Beastie Boys,Unkown Album
51893,Save It For Later,"Beat, The",Unkown Album
506,A Day in the Life,Beatles,Unkown Album
3109,A Hard Day's Night,Beatles,Unkown Album
51748,Anna (Go to Him),Beatles,Unkown Album
51375,Bad Boy,Beatles,Unkown Album
51642,Birthday,Beatles,Unkown Album
507,Can't Buy Me Love,Beatles,Unkown Album
3110,Come Together,Beatles,Unkown Album
3111,Day Tripper,Beatles,Unkown Album
3112,Do You Want to Know a Secret,Beatles,Unkown Album
51615,Don't Let Me Down,Beatles,Unkown Album
52290,Drive My Car,Beatles,Unkown Album
3113,Eight Days a Week,Beatles,Unkown Album
3114,Eleanor Rigby,Beatles,Unkown Album
51519,From Me to You,Beatles,Unkown Album
3905,Get Back (Jojo),Beatles,Unkown Album
508,Help,Beatles,Unkown Album
51623,Here Comes the Sun,Beatles,Unkown Album
3906,Hey Jude,Beatles,Unkown Album
510,I Feel Fine,Beatles,Unkown Album
52291,I Want to Hold Your Hand,Beatles,Unkown Album
52144,If I Fell,Beatles,Unkown Album
3115,In My Life,Beatles,Unkown Album
501,Lady Madonna,Beatles,Unkown Album
2308,Let It Be,Beatles,Unkown Album
3107,Lose That Girl,Beatles,Unkown Album
502,Lucy in the Sky with Diamonds,Beatles,Unkown Album
503,Michele,Beatles,Unkown Album
504,Nowhere Man,Beatles,Unkown Album
51093,Paperback Writer,Beatles,Unkown Album
505,Penny Lane,Beatles,Unkown Album
52360,Please Mister Postman,Beatles,Unkown Album
